EU408346.1;bLac;Alaskan soil;EU408346.1;4826;5713;-;Beta-lactamase Toho-1
EU408347.1;bLac;Alaskan soil;EU408347.1;1446;2672;+;Enterobactin exporter EntS
EU408347.1;bLac;Alaskan soil;EU408347.1;10175;11083;-;Metallo-beta-lactamase L1 type 3
EU408349.1;bLac;Alaskan soil;EU408349.1;45;1025;+;Metallo-beta-lactamase L1 type 3
EU408349.1;bLac;Alaskan soil;EU408349.1;11976;13196;-;Enterobactin exporter EntS
EU408352.1;bLac;Alaskan soil;EU408352.1;4758;5954;-;Efflux pump periplasmic linker BepF
EU408355.1;bLac;Alaskan soil;EU408355.1;24322;25482;+;Beta-lactamase
EU408356.1;bLac;Alaskan soil;EU408356.1;7571;8479;+;Metallo-beta-lactamase L1 type 3
EU408357.1;bLac;Alaskan soil;EU408357.1;53;1210;-;Beta-lactamase
EU408358.1;bLac;Alaskan soil;EU408358.1;27459;28439;-;Extended-spectrum beta-lactamase PER-1
EU885954.1;CAR;larval midguts;EU885954.1;1205;2104;-;Beta-lactamase CTX-M-97
EU885955.1;ERY;larval midguts;EU885955.1;6972;7829;-;Manganese transport system membrane protein MntB
KF791056.1;AMP;retail host;KF791056.1;2137;3018;-;Beta-lactamase CTX-M-1
KF791059.1;TMP;retail host;KF791059.1;54;389;+;Ribosomal RNA small subunit methyltransferase A
KF791059.1;TMP;retail host;KF791059.1;1652;2167;-;Dihydrofolate reductase
KF791060.1;SXT;retail host;KF791060.1;139;651;+;IS1595 family transposase ISSsu9
MN215968.1;GEN;river_sediment;MN215968.1;29;340;-;Multidrug transporter EmrE
MK936038.1;CST;Human_feces;MK936038.1;1;750;+;Metallo-beta-lactamase type 2
MK935711.1;PEN;Human_feces;MK935711.1;1;714;+;Beta-lactamase
MK935712.1;CST;Human_feces;MK935712.1;1;444;+;Beta-lactamase
MK935715.1;PEN;Human_feces;MK935715.1;7;732;+;Beta-lactamase
MK935716.1;PEN;Human_feces;MK935716.1;1;453;+;Beta-lactamase
MK935719.1;CST;Human_feces;MK935719.1;85;669;+;Beta-lactamase
MK935720.1;PEN;Human_feces;MK935720.1;1;264;+;Beta-lactamase
MK935723.1;PIP;Human_feces;MK935723.1;55;621;+;Beta-lactamase
MK935724.1;AMX;Human_feces;MK935724.1;121;705;+;Beta-lactamase
MK935717.1;AMX;Human_feces;MK935717.1;1;729;+;Beta-lactamase
MK935718.1;AMX;Human_feces;MK935718.1;1;696;+;Beta-lactamase
MK935727.1;CST;Gorilla_feces;MK935727.1;1;1167;+;Beta-lactamase
MK935730.1;PIP;Human_feces;MK935730.1;1;1146;+;Beta-lactamase
MK935731.1;AMP;Human_feces;MK935731.1;1;1167;+;Beta-lactamase
MK935732.1;AMP;Human_feces;MK935732.1;1;1167;+;Beta-lactamase
MK935734.1;CAZ;Human_feces;MK935734.1;1;1167;+;Beta-lactamase
MK935735.1;CST;Human_feces;MK935735.1;1;1167;+;Beta-lactamase
MK935736.1;ATM;Human_feces;MK935736.1;1;1167;+;Beta-lactamase
MK935737.1;AMX;Human_feces;MK935737.1;1;1167;+;Beta-lactamase
MK935738.1;AMX;Human_feces;MK935738.1;16;1044;+;Beta-lactamase
MK935739.1;AMX;Human_feces;MK935739.1;1;1167;+;Beta-lactamase
MK935740.1;AMP;Human_feces;MK935740.1;1;1167;+;Beta-lactamase
MK935741.1;PEN;Human_feces;MK935741.1;1;1167;+;Beta-lactamase
MK935742.1;CST;Human_feces;MK935742.1;1;1134;+;Beta-lactamase
MK935743.1;CST;Human_feces;MK935743.1;1;1146;+;Beta-lactamase
MK935745.1;PEN;Human_feces;MK935745.1;1;1134;+;Beta-lactamase
MK935746.1;PIP;Human_feces;MK935746.1;1;1167;+;Beta-lactamase
MK935747.1;CST;Human_feces;MK935747.1;1;1167;+;Beta-lactamase
MK935748.1;CST;Human_feces;MK935748.1;1;1167;+;Beta-lactamase
MK935749.1;AMX;Gorilla_feces;MK935749.1;1;1167;+;Beta-lactamase
MK935751.1;PEN;Human_feces;MK935751.1;1;1167;+;Beta-lactamase
MK935752.1;AMP;Human_feces;MK935752.1;1;1167;+;Beta-lactamase
MK935753.1;CST;Human_feces;MK935753.1;1;1167;+;Beta-lactamase
MK935754.1;CST;Human_feces;MK935754.1;1;1077;+;Beta-lactamase
MK935755.1;CST;Human_feces;MK935755.1;1;1167;+;Beta-lactamase
MK935756.1;CAZ;Human_feces;MK935756.1;1;1146;+;Beta-lactamase
MK935757.1;PEN;Human_feces;MK935757.1;1;1146;+;Beta-lactamase
MK935758.1;PEN;Human_feces;MK935758.1;1;1167;+;Beta-lactamase
MK935759.1;CST;Human_feces;MK935759.1;1;1146;+;Beta-lactamase
MK935760.1;PEN;Human_feces;MK935760.1;1;1146;+;Beta-lactamase
MK935761.1;PEN;Human_feces;MK935761.1;1;1146;+;Beta-lactamase
MK935762.1;PIP;Human_feces;MK935762.1;1;1146;+;Beta-lactamase
MK935764.1;AMP;Human_feces;MK935764.1;1;1167;+;Beta-lactamase
MK935767.1;AMX;Human_feces;MK935767.1;1;1167;+;Beta-lactamase
MK935770.1;AMP;Human_feces;MK935770.1;1;1167;+;Beta-lactamase
